Record_Date,Equipment_ID,Equipment_Type,Fleet_Category,Manufacturer,Fuel_Type,Equipment_Age_Year,Daily_Operating_Hours,ULD_Handling_Count,Consecutive_Working_Days,Cargo_Weight_Handled_KG,Overload_Event_Count,Breakdown_Count_6M,Operator_Experience_Years,Battery_Status,Hydraulic_Leak_Observed,Warehouse_Zone,Outdoor_Usage,Warning_Indicator_Count,Downtime_Hours_Last_30D,Peak_Hour_Operations,Failure_Risk_Level
2023-05-02,F-022,Forklift,Cargo,Jungheinrich,Diesel,1.5,8,35,10,19600,1,0,2,Critical,No,Export,Yes,1,0,Yes,Low
2023-05-02,F-021,Forklift,Cargo,Toyota,Electric,5.5,8,53,7,25811,1,0,6,Critical,No,General Cargo,Yes,0,0,No,Low
2023-05-02,PT-078,Pallet Transporter,Cargo,Hyster,Electric,2.3,11,35,5,21035,0,0,11,Critical,No,Cold Storage,Yes,0,0,Yes,Low
2023-05-02,F-017,Forklift,Ramp,Hyster,Electric,0.8,10,53,11,16218,1,0,14,Critical,No,Export,Yes,0,1,Yes,Low
2023-05-02,F-019,Forklift,Ramp,Hyster,Diesel,1.6,9,36,7,22248,0,1,6,Critical,No,Import,Yes,0,0,No,Low
2023-05-02,BL-038,Belt Loader,Ramp,Jungheinrich,Electric,7.2,8,68,8,25772,0,0,11,Critical,No,Cold Storage,Yes,1,0,No,Low
2023-05-02,F-014,Forklift,Ramp,Jungheinrich,Diesel,5.1,10,64,12,37952,0,0,9,Critical,No,Cold Storage,No,0,0,Yes,Low
2023-05-02,F-013,Forklift,Ramp,Toyota,Diesel,3.0,8,74,5,49802,0,1,15,Critical,No,Import,Yes,2,0,Yes,Low
2023-05-02,F-012,Forklift,Ramp,Hyster,Electric,0.4,8,57,6,38076,0,0,6,Critical,No,Import,No,0,0,No,Low
2023-05-02,F-010,Forklift,Warehouse,Hyster,Electric,4.4,9,73,5,50808,1,0,11,Critical,No,General Cargo,No,0,0,Yes,Low
2023-05-02,F-009,Forklift,Ramp,Caterpillar,Electric,2.2,11,48,10,32064,1,0,12,Critical,No,General Cargo,No,1,0,No,Low
2023-05-02,F-007,Forklift,Warehouse,Jungheinrich,Electric,7.2,8,51,6,16371,1,1,12,Critical,No,Import,Yes,1,1,Yes,Low
2023-05-02,F-020,Forklift,Warehouse,Toyota,Diesel,1.2,12,40,5,18320,0,1,10,Critical,No,Import,Yes,1,1,Yes,Low
2023-05-02,CT-042,Cargo Tractor,Warehouse,Toyota,Electric,6.0,9,52,5,18928,0,0,4,Critical,No,Export,Yes,1,0,Yes,Low
2023-05-02,F-002,Forklift,Cargo,Caterpillar,Diesel,5.4,9,20,4,9000,1,0,7,Critical,No,Import,Yes,1,1,Yes,Low
2023-05-02,UT-065,ULD Transporter,Warehouse,TLD,Diesel,2.5,9,47,5,19740,0,0,10,Critical,No,General Cargo,No,0,0,Yes,Low
2023-05-02,CT-053,Cargo Tractor,Cargo,Jungheinrich,Electric,3.8,10,60,3,25080,1,0,3,Critical,No,General Cargo,No,0,0,No,Low
2023-05-02,UT-061,ULD Transporter,Cargo,TLD,Electric,4.3,9,75,5,49650,0,0,6,Critical,No,General Cargo,No,0,0,Yes,Low
2023-05-02,CT-058,Cargo Tractor,Warehouse,Jungheinrich,Diesel,3.5,12,21,10,12663,0,1,8,Critical,No,Import,Yes,0,0,No,Low
2023-05-02,CT-050,Cargo Tractor,Cargo,Hyster,Diesel,4.8,9,39,8,23556,1,0,11,Critical,No,Import,Yes,0,0,Yes,Low
2023-05-02,CT-059,Cargo Tractor,Warehouse,Jungheinrich,Electric,6.4,9,52,4,24804,0,0,5,Critical,No,Import,Yes,0,0,Yes,Low
2023-05-03,F-022,Forklift,Cargo,Jungheinrich,Diesel,1.5,11,19,12,12768,1,0,8,Critical,No,General Cargo,No,2,0,No,Low
2023-05-03,CT-048,Cargo Tractor,Cargo,TLD,Diesel,3.3,12,22,13,8866,0,0,1,Critical,No,Import,Yes,0,0,No,Low
2023-05-03,UT-068,ULD Transporter,Warehouse,Hyster,Electric,6.0,11,70,12,31640,1,0,11,Critical,No,General Cargo,Yes,0,0,Yes,Low
2023-05-03,CT-049,Cargo Tractor,Warehouse,Toyota,Diesel,7.7,8,56,5,17080,0,0,1,Critical,No,Export,No,0,0,Yes,Low
2023-05-03,PT-084,Pallet Transporter,Cargo,Caterpillar,Electric,4.8,9,61,6,26657,0,1,12,Critical,No,Cold Storage,No,0,0,Yes,Low
2023-05-03,BL-026,Belt Loader,Warehouse,Caterpillar,Diesel,5.9,10,47,9,17108,0,1,3,Critical,No,General Cargo,Yes,0,0,No,Low
2023-05-03,F-018,Forklift,Cargo,Caterpillar,Electric,6.0,10,18,11,8010,0,0,4,Critical,No,General Cargo,No,0,1,No,Low
2023-05-03,CT-052,Cargo Tractor,Cargo,Jungheinrich,Diesel,4.0,9,47,11,21714,0,0,14,Critical,No,Cold Storage,No,1,0,Yes,Low
2023-05-03,F-016,Forklift,Cargo,Jungheinrich,Diesel,4.2,10,40,12,21200,0,0,11,Critical,No,Export,No,0,1,No,Low
2023-05-03,F-015,Forklift,Warehouse,Jungheinrich,Electric,3.3,11,61,12,21289,0,0,11,Critical,No,Export,Yes,0,0,Yes,Low
2023-05-03,F-014,Forklift,Ramp,Jungheinrich,Diesel,5.1,11,54,3,32670,0,1,15,Critical,No,Cold Storage,No,0,0,No,Low
2023-05-03,CT-056,Cargo Tractor,Ramp,Jungheinrich,Diesel,3.2,10,61,7,28243,1,1,7,Critical,No,General Cargo,No,0,1,No,Low
2023-05-03,UT-066,ULD Transporter,Warehouse,Jungheinrich,Diesel,8.0,12,32,9,12960,0,0,1,Critical,No,Cold Storage,No,0,0,No,Low
2023-05-03,CT-057,Cargo Tractor,Ramp,Caterpillar,Diesel,0.6,8,26,4,10452,0,0,6,Critical,No,Export,Yes,0,0,Yes,Low
2023-05-03,F-023,Forklift,Ramp,Jungheinrich,Diesel,6.5,12,31,6,11966,1,0,8,Critical,No,Cold Storage,No,0,0,No,Low
2023-05-03,F-024,Forklift,Ramp,Toyota,Electric,3.8,8,75,9,36150,0,0,9,Critical,No,Cold Storage,No,0,1,No,Low
2023-05-03,CT-055,Cargo Tractor,Cargo,Jungheinrich,Diesel,6.7,9,43,8,14835,0,1,2,Critical,No,Import,No,0,0,No,Low
2023-05-03,F-025,Forklift,Cargo,Jungheinrich,Diesel,5.7,9,24,8,14712,0,1,2,Critical,No,Cold Storage,Yes,0,0,Yes,Low
2023-05-03,F-002,Forklift,Cargo,Caterpillar,Diesel,5.4,8,57,3,34086,1,1,2,Critical,No,Cold Storage,No,2,1,No,Low
2023-05-03,UT-075,ULD Transporter,Cargo,Jungheinrich,Diesel,7.0,11,31,5,19282,0,0,9,Critical,No,Export,Yes,0,0,No,Low
2023-05-03,CT-047,Cargo Tractor,Warehouse,Toyota,Diesel,6.1,11,23,8,8556,0,0,5,Critical,No,General Cargo,No,0,0,Yes,Low
2023-05-03,CT-046,Cargo Tractor,Ramp,Caterpillar,Electric,3.7,12,47,4,16732,0,0,14,Critical,No,Import,No,0,0,Yes,Low
2023-05-03,UT-064,ULD Transporter,Warehouse,Caterpillar,Diesel,7.2,9,42,13,27930,1,0,13,Critical,No,Export,Yes,0,0,Yes,Low
2023-05-03,CT-045,Cargo Tractor,Ramp,Toyota,Electric,2.3,11,24,9,15144,1,0,1,Critical,No,Import,Yes,0,0,Yes,Low
2023-05-03,CT-044,Cargo Tractor,Ramp,TLD,Diesel,5.1,10,21,11,7728,1,0,3,Critical,No,Cold Storage,No,0,0,Yes,Low
2023-05-03,BL-031,Belt Loader,Cargo,Hyster,Electric,4.6,10,49,7,15876,0,0,8,Critical,No,Cold Storage,Yes,0,0,No,Low
2023-05-03,F-003,Forklift,Warehouse,Hyster,Diesel,2.3,10,33,5,13431,0,0,9,Critical,No,Export,Yes,1,0,Yes,Low
2023-05-03,BL-034,Belt Loader,Warehouse,Toyota,Diesel,4.6,12,63,9,29421,0,1,7,Critical,No,Import,No,0,0,No,Low
2023-05-03,F-004,Forklift,Cargo,Caterpillar,Electric,7.7,8,50,10,24450,0,0,5,Critical,No,Cold Storage,Yes,0,1,Yes,Low
2023-05-03,F-005,Forklift,Ramp,Toyota,Diesel,4.7,9,48,7,19200,0,1,14,Critical,No,Cold Storage,No,0,0,Yes,Low
2023-05-03,BL-036,Belt Loader,Warehouse,Caterpillar,Diesel,3.5,10,45,8,21735,0,1,5,Critical,No,General Cargo,No,0,1,No,Low
2023-05-04,F-003,Forklift,Warehouse,Hyster,Diesel,2.3,12,24,2,15120,1,0,11,Critical,No,Export,No,1,0,Yes,Low
2023-05-04,F-008,Forklift,Ramp,Caterpillar,Diesel,4.3,11,51,12,23562,0,0,3,Critical,No,General Cargo,No,1,0,No,Low
2023-05-04,F-010,Forklift,Warehouse,Hyster,Electric,4.4,9,44,4,28776,1,1,6,Critical,No,General Cargo,No,0,0,Yes,Low
2023-05-04,CT-060,Cargo Tractor,Warehouse,Jungheinrich,Electric,4.4,9,39,12,25935,0,0,14,Critical,No,Export,No,0,0,No,Low
2023-05-04,F-011,Forklift,Warehouse,TLD,Electric,7.0,12,64,13,34048,1,0,3,Critical,No,Export,Yes,1,1,Yes,Low
2023-05-04,F-006,Forklift,Warehouse,Hyster,Electric,1.9,9,62,12,34038,0,1,11,Critical,No,Export,Yes,0,0,Yes,Low
2023-05-04,F-007,Forklift,Warehouse,Jungheinrich,Electric,7.2,11,57,8,39558,1,1,11,Critical,No,Export,No,1,1,Yes,Low
2023-05-04,UT-070,ULD Transporter,Cargo,Toyota,Electric,4.1,8,64,5,32704,0,0,14,Critical,No,Export,Yes,0,0,Yes,Low
2023-05-04,PT-082,Pallet Transporter,Ramp,Hyster,Electric,4.8,12,20,10,11280,0,1,13,Critical,No,Export,No,1,0,Yes,Low
2023-05-04,CT-041,Cargo Tractor,Ramp,Hyster,Electric,5.0,11,70,6,37940,0,0,4,Critical,No,Cold Storage,No,0,1,No,Low
2023-05-04,UT-071,ULD Transporter,Warehouse,TLD,Electric,7.7,11,47,7,25756,0,1,9,Critical,No,Cold Storage,No,1,0,Yes,Low
2023-05-04,BL-038,Belt Loader,Ramp,Jungheinrich,Electric,7.2,8,26,3,14586,0,1,2,Critical,No,General Cargo,No,1,0,No,Low
2023-05-04,CT-043,Cargo Tractor,Cargo,Toyota,Diesel,7.3,8,73,11,36062,0,1,10,Critical,No,General Cargo,Yes,0,0,Yes,Low
2023-05-04,UT-072,ULD Transporter,Warehouse,Hyster,Electric,4.1,8,74,14,46990,0,1,15,Critical,No,Cold Storage,No,0,0,Yes,Low
2023-05-04,BL-035,Belt Loader,Ramp,Toyota,Diesel,5.3,8,62,11,35278,0,1,3,Critical,No,Export,Yes,0,0,No,Low
2023-05-04,BL-033,Belt Loader,Warehouse,Jungheinrich,Diesel,7.1,8,69,14,26841,0,0,1,Critical,No,Export,No,0,0,No,Low
2023-05-04,UT-073,ULD Transporter,Warehouse,Jungheinrich,Electric,2.9,8,32,14,12608,0,0,1,Critical,No,Import,No,0,0,Yes,Low
2023-05-04,UT-069,ULD Transporter,Ramp,TLD,Diesel,8.1,11,69,14,34569,0,0,4,Critical,No,Export,Yes,0,0,No,Low
2023-05-04,F-024,Forklift,Ramp,Toyota,Electric,3.8,10,61,8,24644,1,1,5,Critical,No,Import,Yes,0,2,Yes,Low
2023-05-04,F-022,Forklift,Cargo,Jungheinrich,Diesel,1.6,9,34,4,18768,1,0,3,Critical,No,Cold Storage,No,2,0,No,Low
2023-05-04,PT-078,Pallet Transporter,Cargo,Hyster,Electric,2.3,12,15,5,5085,0,1,14,Critical,No,Import,Yes,1,0,No,Low
2023-05-04,CT-051,Cargo Tractor,Cargo,Caterpillar,Electric,6.8,9,31,12,15159,0,1,7,Critical,No,General Cargo,No,0,0,Yes,Low
2023-05-04,F-019,Forklift,Ramp,Hyster,Diesel,1.6,11,51,4,25194,0,2,8,Critical,No,General Cargo,No,1,0,No,Low
2023-05-04,CT-042,Cargo Tractor,Warehouse,Toyota,Electric,6.0,12,27,4,9315,0,1,10,Critical,No,Export,No,1,0,Yes,Low
2023-05-04,F-016,Forklift,Cargo,Jungheinrich,Diesel,4.2,12,40,11,20640,1,1,11,Critical,No,Import,No,0,1,No,Low
2023-05-04,CT-054,Cargo Tractor,Ramp,Caterpillar,Diesel,3.3,9,20,8,13840,0,0,4,Critical,No,General Cargo,Yes,0,0,No,Low
2023-05-04,PT-083,Pallet Transporter,Warehouse,Jungheinrich,Electric,1.6,9,16,11,7856,0,0,8,Critical,No,Cold Storage,Yes,0,1,No,Low
2023-05-04,UT-067,ULD Transporter,Ramp,Caterpillar,Electric,4.5,9,16,13,5168,0,1,11,Critical,No,Cold Storage,No,0,0,No,Low
2023-05-04,UT-063,ULD Transporter,Ramp,Caterpillar,Diesel,0.6,10,68,14,34272,0,1,6,Critical,No,Import,Yes,1,0,No,Low
2023-05-04,F-001,Forklift,Ramp,Hyster,Diesel,7.3,11,68,10,39440,0,1,15,Critical,No,General Cargo,Yes,2,0,Yes,Low
2023-05-05,F-002,Forklift,Cargo,Caterpillar,Diesel,5.4,10,35,9,14770,0,1,11,Critical,No,General Cargo,Yes,0,0,No,Low
2023-05-05,CT-059,Cargo Tractor,Warehouse,Jungheinrich,Electric,6.4,8,35,5,24500,0,0,11,Critical,No,Import,No,1,0,No,Low
2023-05-05,CT-045,Cargo Tractor,Ramp,Toyota,Electric,2.3,8,32,6,21568,2,0,13,Critical,No,Cold Storage,Yes,0,0,No,Low
2023-05-05,PT-085,Pallet Transporter,Cargo,Hyster,Electric,0.7,11,68,11,44064,0,0,5,Critical,No,General Cargo,Yes,0,0,No,Low
2023-05-05,PT-076,Pallet Transporter,Ramp,Jungheinrich,Electric,6.6,11,75,11,28950,0,0,4,Critical,No,Import,Yes,0,0,No,Low
2023-05-05,F-015,Forklift,Warehouse,Jungheinrich,Electric,3.3,12,17,8,9452,0,1,9,Critical,No,Import,Yes,0,0,Yes,Low
2023-05-05,PT-081,Pallet Transporter,Ramp,Caterpillar,Diesel,2.8,9,17,10,11492,0,0,15,Critical,No,Cold Storage,No,1,0,Yes,Low
2023-05-05,CT-058,Cargo Tractor,Warehouse,Jungheinrich,Diesel,3.5,8,16,7,10192,0,1,10,Critical,No,General Cargo,No,1,0,No,Low
2023-05-05,BL-027,Belt Loader,Warehouse,Jungheinrich,Electric,2.8,11,27,5,12231,1,0,6,Critical,No,Cold Storage,No,1,0,Yes,Low
2023-05-05,F-007,Forklift,Warehouse,Jungheinrich,Electric,7.2,11,62,6,38440,1,2,4,Critical,No,Export,Yes,2,1,Yes,Low
2023-05-05,BL-030,Belt Loader,Ramp,Caterpillar,Electric,0.7,11,34,5,15130,0,0,15,Critical,No,General Cargo,Yes,1,1,Yes,Low
2023-05-05,BL-040,Belt Loader,Ramp,Toyota,Diesel,7.8,10,15,13,9690,0,0,11,Critical,No,Import,Yes,0,0,No,Low
2023-05-05,BL-031,Belt Loader,Cargo,Hyster,Electric,4.6,11,42,5,28812,0,1,4,Critical,No,Import,Yes,0,0,Yes,Low
2023-05-05,CT-057,Cargo Tractor,Ramp,Caterpillar,Diesel,0.6,8,61,9,19825,0,0,4,Critical,No,Export,No,0,0,No,Low
2023-05-05,BL-032,Belt Loader,Ramp,TLD,Electric,1.5,9,58,12,35322,0,0,2,Critical,No,Import,No,0,0,Yes,Low
2023-05-05,F-013,Forklift,Ramp,Toyota,Diesel,3.0,12,41,7,25215,0,2,6,Critical,No,Cold Storage,Yes,0,0,No,Low
2023-05-05,F-014,Forklift,Ramp,Jungheinrich,Diesel,5.1,12,31,3,11470,0,2,15,Critical,No,Cold Storage,No,1,0,No,Low
2023-05-05,BL-039,Belt Loader,Cargo,Toyota,Diesel,1.7,12,55,13,32945,0,1,9,Critical,No,Cold Storage,Yes,0,0,Yes,Low
2023-05-05,BL-034,Belt Loader,Warehouse,Toyota,Diesel,4.6,10,15,12,9525,0,1,2,Critical,No,Export,No,0,0,Yes,Low
2023-05-05,BL-037,Belt Loader,Ramp,TLD,Diesel,1.0,10,61,11,29646,0,0,11,Critical,No,Export,Yes,0,0,No,Low
2023-05-05,UT-062,ULD Transporter,Warehouse,Jungheinrich,Diesel,8.3,10,33,13,15840,0,0,5,Critical,No,Import,No,0,0,Yes,Low
2023-05-05,PT-077,Pallet Transporter,Warehouse,Jungheinrich,Diesel,6.8,8,24,13,10248,0,0,5,Critical,No,Export,Yes,0,1,Yes,Low
2023-05-05,F-020,Forklift,Warehouse,Toyota,Diesel,1.2,8,32,9,10656,0,1,11,Critical,No,Cold Storage,Yes,2,1,Yes,Low
2023-05-05,PT-080,Pallet Transporter,Cargo,Jungheinrich,Electric,6.4,11,20,11,10780,0,1,1,Critical,No,Cold Storage,No,0,0,No,Low
2023-05-05,CT-053,Cargo Tractor,Cargo,Jungheinrich,Electric,3.8,12,62,10,40114,2,0,11,Critical,No,Cold Storage,No,0,0,No,Low
2023-05-05,F-017,Forklift,Ramp,Hyster,Electric,0.8,12,29,11,16066,1,1,11,Critical,No,Import,Yes,0,1,No,Low
2023-05-05,PT-079,Pallet Transporter,Ramp,Caterpillar,Electric,2.2,12,52,7,24388,0,1,1,Critical,No,General Cargo,No,1,0,Yes,Low
2023-05-05,F-019,Forklift,Ramp,Hyster,Diesel,1.6,10,64,5,27776,0,2,14,Critical,No,Cold Storage,Yes,2,0,No,Low
2023-05-05,UT-066,ULD Transporter,Warehouse,Jungheinrich,Diesel,8.0,12,61,11,28426,1,0,3,Critical,No,Import,Yes,0,0,No,Low
2023-05-05,F-021,Forklift,Cargo,Toyota,Electric,5.5,12,56,9,34216,0,0,4,Critical,No,Export,No,0,0,No,Low
2023-05-05,F-012,Forklift,Ramp,Hyster,Electric,0.4,8,47,5,20022,0,0,12,Critical,No,Cold Storage,Yes,0,0,No,Low
2023-05-05,CT-050,Cargo Tractor,Cargo,Hyster,Diesel,4.8,9,20,12,11320,1,0,7,Critical,No,Cold Storage,No,0,0,Yes,Low
2023-05-05,F-006,Forklift,Warehouse,Hyster,Electric,1.9,8,44,7,26312,0,1,10,Critical,No,Import,Yes,1,0,Yes,Low
2023-05-05,CT-048,Cargo Tractor,Cargo,TLD,Diesel,3.3,12,64,7,20928,0,0,2,Critical,No,Import,No,0,0,No,Low
2023-05-05,CT-047,Cargo Tractor,Warehouse,Toyota,Diesel,6.1,11,22,11,7414,1,1,11,Critical,No,General Cargo,Yes,0,0,No,Low
2023-05-05,CT-049,Cargo Tractor,Warehouse,Toyota,Diesel,7.7,9,35,6,16555,0,1,4,Critical,No,General Cargo,No,1,0,No,Low
2023-05-05,UT-068,ULD Transporter,Warehouse,Hyster,Electric,6.0,8,44,6,27808,1,0,12,Critical,No,Export,No,0,0,No,Low
2023-05-05,F-009,Forklift,Ramp,Caterpillar,Electric,2.2,12,43,8,18017,1,1,13,Critical,No,General Cargo,Yes,1,0,No,Low
2023-05-06,F-022,Forklift,Cargo,Jungheinrich,Diesel,1.6,8,55,8,30030,2,0,7,Critical,No,Import,Yes,2,0,No,Low
2023-05-06,F-002,Forklift,Cargo,Caterpillar,Diesel,5.4,12,32,5,21056,0,1,6,Critical,No,Import,No,0,0,No,Low
2023-05-06,F-023,Forklift,Ramp,Jungheinrich,Diesel,6.5,12,74,10,43586,1,0,5,Critical,No,Export,No,0,0,No,Low
2023-05-06,UT-061,ULD Transporter,Cargo,TLD,Electric,4.3,11,38,11,20026,0,0,3,Critical,No,Import,Yes,1,0,No,Low
2023-05-06,F-014,Forklift,Ramp,Jungheinrich,Diesel,5.1,11,38,7,18468,0,2,13,Critical,No,Export,Yes,2,0,No,Low
2023-05-06,F-015,Forklift,Warehouse,Jungheinrich,Electric,3.3,10,74,10,43068,0,1,13,Critical,No,Export,Yes,0,0,No,Low
2023-05-06,F-016,Forklift,Cargo,Jungheinrich,Diesel,4.2,12,57,9,38019,2,1,2,Critical,No,Cold Storage,Yes,0,1,No,Low
2023-05-06,F-001,Forklift,Ramp,Hyster,Diesel,7.3,8,60,6,26760,0,1,5,Critical,No,Export,Yes,2,1,Yes,Low
2023-05-06,BL-028,Belt Loader,Cargo,Toyota,Diesel,5.3,12,64,12,43776,0,1,2,Critical,No,General Cargo,No,1,1,No,Low
2023-05-06,F-020,Forklift,Warehouse,Toyota,Diesel,1.2,10,18,10,8226,0,2,10,Critical,No,Import,No,2,1,Yes,Low
2023-05-06,BL-026,Belt Loader,Warehouse,Caterpillar,Diesel,5.9,10,35,9,16170,0,2,15,Critical,No,Import,Yes,0,0,Yes,Low
2023-05-06,F-018,Forklift,Cargo,Caterpillar,Electric,6.0,8,21,4,12159,0,0,4,Critical,No,General Cargo,Yes,1,1,Yes,Low
2023-05-06,F-021,Forklift,Cargo,Toyota,Electric,5.5,11,45,6,17190,0,0,6,Critical,No,General Cargo,Yes,0,0,No,Low
2023-05-06,F-025,Forklift,Cargo,Jungheinrich,Diesel,5.7,9,65,12,19760,0,1,13,Critical,No,Export,Yes,0,0,No,Low
2023-05-06,F-010,Forklift,Warehouse,Hyster,Electric,4.4,11,40,11,21960,1,2,9,Critical,No,Export,No,0,1,Yes,Low
2023-05-06,CT-042,Cargo Tractor,Warehouse,Toyota,Electric,6.0,11,33,10,21384,0,1,14,Critical,No,General Cargo,No,1,0,No,Low
2023-05-06,SL-087,Scissor Lift,Ramp,Hyster,Diesel,7.0,11,21,7,8379,1,1,7,Critical,No,General Cargo,No,0,0,No,Low
2023-05-06,F-004,Forklift,Cargo,Caterpillar,Electric,7.7,10,18,4,11412,0,0,2,Critical,No,Import,Yes,1,1,No,Low
2023-05-06,CT-046,Cargo Tractor,Ramp,Caterpillar,Electric,3.7,12,31,5,10199,0,0,5,Critical,No,General Cargo,No,0,0,No,Low
2023-05-06,CT-056,Cargo Tractor,Ramp,Jungheinrich,Diesel,3.2,12,16,14,10000,2,2,4,Critical,No,Cold Storage,Yes,0,1,No,Low
2023-05-06,F-011,Forklift,Warehouse,TLD,Electric,7.0,12,62,10,25916,1,0,7,Critical,No,Export,No,2,1,Yes,Low
2023-05-06,F-005,Forklift,Ramp,Toyota,Diesel,4.7,12,52,9,21164,0,2,1,Critical,No,General Cargo,Yes,0,0,Yes,Low
2023-05-06,UT-070,ULD Transporter,Cargo,Toyota,Electric,4.1,8,40,5,20000,0,0,4,Critical,No,Export,Yes,0,0,Yes,Low
2023-05-06,UT-065,ULD Transporter,Warehouse,TLD,Diesel,2.5,11,34,9,23494,1,0,10,Critical,No,Export,Yes,1,0,Yes,Low
2023-05-06,CT-044,Cargo Tractor,Ramp,TLD,Diesel,5.1,12,38,6,12160,1,0,2,Critical,No,Cold Storage,No,0,0,No,Low
2023-05-06,F-003,Forklift,Warehouse,Hyster,Diesel,2.3,9,28,12,18676,1,0,8,Critical,No,Export,Yes,1,0,No,Low
2023-05-06,BL-036,Belt Loader,Warehouse,Caterpillar,Diesel,3.5,9,72,6,41544,0,1,12,Critical,No,Export,No,1,1,Yes,Low
2023-05-06,PT-082,Pallet Transporter,Ramp,Hyster,Electric,4.8,11,33,6,18216,0,2,15,Critical,No,General Cargo,No,1,0,Yes,Low
2023-05-06,SL-089,Scissor Lift,Cargo,Hyster,Electric,0.8,10,51,13,23919,0,0,10,Critical,No,Export,No,0,0,No,Low
2023-05-06,UT-067,ULD Transporter,Ramp,Caterpillar,Electric,4.5,10,32,5,12032,1,2,5,Critical,No,Export,No,0,0,Yes,Low
2023-05-07,F-004,Forklift,Cargo,Caterpillar,Electric,7.7,12,51,2,31977,1,0,5,Critical,No,General Cargo,No,2,1,No,Low
2023-05-07,F-008,Forklift,Ramp,Caterpillar,Diesel,4.3,12,27,4,15876,1,1,8,Critical,No,General Cargo,No,1,0,Yes,Low
2023-05-07,F-017,Forklift,Ramp,Hyster,Electric,0.8,12,40,10,25480,1,1,10,Critical,No,Import,No,0,1,Yes,Low
2023-05-07,CT-052,Cargo Tractor,Cargo,Jungheinrich,Diesel,4.0,12,31,5,11253,1,0,15,Critical,No,Export,Yes,2,0,No,Low
2023-05-07,F-022,Forklift,Cargo,Jungheinrich,Diesel,1.6,12,24,10,10200,2,0,3,Critical,No,Export,No,3,0,No,Low
2023-05-07,F-021,Forklift,Cargo,Toyota,Electric,5.5,8,30,5,20190,0,0,15,Critical,No,General Cargo,Yes,0,1,Yes,Low
2023-05-07,F-001,Forklift,Ramp,Hyster,Diesel,7.3,11,36,9,20772,0,2,7,Critical,No,Cold Storage,No,3,1,Yes,Low
2023-05-07,F-018,Forklift,Cargo,Caterpillar,Electric,6.0,11,47,7,17907,0,0,6,Critical,No,Export,Yes,1,1,No,Low
2023-05-07,SL-088,Scissor Lift,Warehouse,TLD,Diesel,6.3,9,49,16,26852,0,0,9,Critical,No,Import,Yes,0,0,Yes,Low
2023-05-07,CT-048,Cargo Tractor,Cargo,TLD,Diesel,3.3,12,42,6,15540,0,0,10,Critical,No,Export,No,0,0,No,Low
2023-05-07,CT-049,Cargo Tractor,Warehouse,Toyota,Diesel,7.7,12,52,9,26312,0,1,6,Critical,No,Cold Storage,No,1,0,Yes,Low
2023-05-07,CT-051,Cargo Tractor,Cargo,Caterpillar,Electric,6.8,11,16,8,8992,0,1,14,Critical,No,Import,No,1,0,Yes,Low
